GUID b9f2cedc20d04490a5c488de25bfa54f

Type Melee
Rarity Uncommon
Useable Melee
Slot Any
ID 36090


Size_Y 2
Size_Z 0.55
Use_Auto_Icon_Measurements False

Range 1.5

Player_Damage 10
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 10
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 10
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 10
Structure_Damage 10
Vehicle_Damage 10
Resource_Damage 5
Object_Damage 2

Durability 0

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 36011
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 36090
Blueprint_1_Product 36011
Blueprint_1_Products 2
Blueprint_1_Build 27

Repair
Repeated
