GUID 32db41c94bf64c94b0ece9600c36eeb7

Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 36598

Size_X 5
Size_Y 2

Magazine 36604
Sight 36541
Tactical 36443
Grip 36536

Hook_Sight
Hook_Barrel
Hook_Tactical
Hook_Grip

Ammo_Min 1
Ammo_Max 1

Quality_Min 0
Quality_Max 10

Safety
Semi

Magazine_Calibers 1
Magazine_Caliber_0 36014

Attachment_Calibers 1
Attachment_Caliber_0 36013

Range 500
Firerate 50
Action Bolt

Gunshot_Rolloff_Distance 1000
Equipable_Movement_Speed_Multiplier 0.9

Damage_Falloff_Range 0
Damage_Falloff_Multiplier 0

Player_Damage 115
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 400
Zombie_Leg_Multiplier 0.6
Zombie_Arm_Multiplier 0.6
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.1

Invulnerable

Animal_Damage 80
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 130
Structure_Damage 130
Vehicle_Damage 500
Resource_Damage 500
Object_Damage 500

Durability 0.025

Spread_Aim 0.01
Spread_Hip 0.5

Recoil_Min_X -0.3
Recoil_Min_Y 13
Recoil_Max_X 0.3
Recoil_Max_Y 10

Recover_X 0.1
Recover_Y 0.05

Shake_Min_X -0.02
Shake_Min_Y 0.00075
Shake_Min_Z -0.05
Shake_Max_X -0.02
Shake_Max_Y 0.0005
Shake_Max_Z -0.07

Ballistic_Drop 0.0005

Muzzle 4

Actions 3
Action_0_Type Blueprint
Action_0_Source 36150
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 5
Action_0_Text ▲Upgrade
Action_0_Tooltip ▲Upgrade weapon using gun parts

Action_1_Type Blueprint
Action_1_Source 36598
Action_1_Blueprints 1
Action_1_Blueprint_0_Index 0
Action_1_Key Salvage

Action_2_Type Blueprint
Action_2_Source 36598
Action_2_Blueprints 1
Action_2_Blueprint_0_Index 1
Action_2_Key Salvage

Blueprints 4
Blueprint_0_Type Tool
Blueprint_0_Supply_0_ID 36598
Blueprint_0_Build 27
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 36011
Blueprint_0_Output_0_Amount 3

Blueprint_0_Conditions 1
Blueprint_0_Condition_0_Type Flag_Short
Blueprint_0_Condition_0_ID 36011
Blueprint_0_Condition_0_Value 0
Blueprint_0_Condition_0_Logic Equal
Blueprint_0_Condition_0_Allow_Unset

Blueprint_1_Type Tool
Blueprint_1_Supply_0_ID 36598
Blueprint_1_Build 27
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 36011
Blueprint_1_Output_0_Amount 4

Blueprint_1_Conditions 1
Blueprint_1_Condition_0_Type Flag_Short
Blueprint_1_Condition_0_ID 36011
Blueprint_1_Condition_0_Value 1
Blueprint_1_Condition_0_Logic Equal

Blueprint_2_Type Repair
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 36011
Blueprint_2_Supply_0_Amount 2
Blueprint_2_Build 27
Blueprint_2_Tool 36090
Blueprint_2_Level 2
Blueprint_2_Skill Repair

Blueprint_3_Type Gear
Blueprint_3_Supplies 2
Blueprint_3_Supply_0_ID 36559
Blueprint_3_Supply_0_Amount 1
Blueprint_3_Supply_0_Critical
Blueprint_3_Supply_1_ID 36196
Blueprint_3_Supply_1_Amount 1
Blueprint_3_Supply_1_Critical
Blueprint_3_State_Transfer
Blueprint_3_Build 27

Blueprint_3_Conditions 1
Blueprint_3_Condition_0_Type Flag_Bool
Blueprint_3_Condition_0_ID 36578
Blueprint_3_Condition_0_Value True
Blueprint_3_Condition_0_Logic Equal
