GUID fe980667418f47a2a68dee9416a951ca

Type Small
Has_Clip_Prefab false
ID 36000

Conditions 2
Condition_0_Type Flag_Bool
Condition_0_ID 36018
Condition_0_Value False
Condition_0_Logic Equal
Condition_0_Allow_Unset

Condition_1_Type Flag_Short
Condition_1_ID 36017
Condition_1_Value 2
Condition_1_Logic Equal



Interactability_Conditions 2
Interactability_Condition_0_Type Item
Interactability_Condition_0_ID 36015
Interactability_Condition_0_Amount 1
Interactability_Condition_0_Reset
Interactability_Condition_1_Type Flag_Bool
Interactability_Condition_1_ID 36588
Interactability_Condition_1_Value False
Interactability_Condition_1_Logic Equal



Interactability Quest
Interactability_Effect 7
Interactability_Rewards 7
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 36016
Interactability_Reward_0_Value False

Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 36017
Interactability_Reward_1_Value 0
Interactability_Reward_1_Modification Assign

Interactability_Reward_2_Type Flag_Bool
Interactability_Reward_2_ID 36018
Interactability_Reward_2_Value False

Interactability_Reward_3_Type Flag_Bool
Interactability_Reward_3_ID 36019
Interactability_Reward_3_Value False

Interactability_Reward_4_Type Flag_Short_Random
Interactability_Reward_4_ID 36020
Interactability_Reward_4_Min_Value 1
Interactability_Reward_4_Max_Value 5
Interactability_Reward_4_Modification Assign

Interactability_Reward_5_Type Flag_Bool
Interactability_Reward_5_ID 36021
Interactability_Reward_5_Value True

Interactability_Reward_6_Type Flag_Short
Interactability_Reward_6_ID 36022
Interactability_Reward_6_Value 1
Interactability_Reward_6_Modification Decrement

Master_Bundle_Override frost.masterbundle
Bundle_Override_Path /Objects/Safezone/Frost_NPC_Craft_Flower_Off
