GUID 3758c6a60a0e47b88a4c77f6f79b94f4

Type Small
Has_Clip_Prefab false
ID 36000

Conditions 1
Condition_0_Type Flag_Short
Condition_0_ID 36283
Condition_0_Value 3
Condition_0_Logic Equal

//Reset
Interactability Quest
Interactability_Effect 7
Interactability_Rewards 19

Interactability_Reward_18_Type Flag_Short
Interactability_Reward_18_ID 36533
Interactability_Reward_18_Value 1
Interactability_Reward_18_Modification Increment

Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 36283
Interactability_Reward_0_Value -1
Interactability_Reward_0_Modification Assign
//first round
Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 36283
Interactability_Reward_1_Value 1
Interactability_Reward_1_Modification Assign


//reset
Interactability_Reward_2_Type Flag_Short
Interactability_Reward_2_ID 36310
Interactability_Reward_2_Value 0
Interactability_Reward_2_Modification Assign

Interactability_Reward_3_Type Flag_Short
Interactability_Reward_3_ID 36311
Interactability_Reward_3_Value 0
Interactability_Reward_3_Modification Assign

Interactability_Reward_4_Type Flag_Short
Interactability_Reward_4_ID 36312
Interactability_Reward_4_Value 0
Interactability_Reward_4_Modification Assign

Interactability_Reward_5_Type Flag_Short
Interactability_Reward_5_ID 36313
Interactability_Reward_5_Value 0
Interactability_Reward_5_Modification Assign

Interactability_Reward_6_Type Flag_Short
Interactability_Reward_6_ID 36314
Interactability_Reward_6_Value 0
Interactability_Reward_6_Modification Assign

Interactability_Reward_7_Type Flag_Short
Interactability_Reward_7_ID 36315
Interactability_Reward_7_Value 0
Interactability_Reward_7_Modification Assign

Interactability_Reward_8_Type Flag_Short
Interactability_Reward_8_ID 36316
Interactability_Reward_8_Value 0
Interactability_Reward_8_Modification Assign

Interactability_Reward_9_Type Flag_Short
Interactability_Reward_9_ID 36317
Interactability_Reward_9_Value 0
Interactability_Reward_9_Modification Assign

Interactability_Reward_17_Type Flag_Short
Interactability_Reward_17_ID 36318
Interactability_Reward_17_Value 0
Interactability_Reward_17_Modification Assign

Interactability_Reward_10_Type Flag_Short
Interactability_Reward_10_ID 36319
Interactability_Reward_10_Value 0
Interactability_Reward_10_Modification Assign

Interactability_Reward_11_Type Flag_Short
Interactability_Reward_11_ID 36320
Interactability_Reward_11_Value 0
Interactability_Reward_11_Modification Assign

Interactability_Reward_12_Type Flag_Short
Interactability_Reward_12_ID 36321
Interactability_Reward_12_Value 0
Interactability_Reward_12_Modification Assign

Interactability_Reward_13_Type Flag_Short
Interactability_Reward_13_ID 36322
Interactability_Reward_13_Value 0
Interactability_Reward_13_Modification Assign

Interactability_Reward_14_Type Flag_Short
Interactability_Reward_14_ID 36323
Interactability_Reward_14_Value 0
Interactability_Reward_14_Modification Assign

Interactability_Reward_15_Type Flag_Short
Interactability_Reward_15_ID 36324
Interactability_Reward_15_Value 0
Interactability_Reward_15_Modification Assign

Interactability_Reward_16_Type Flag_Short
Interactability_Reward_16_ID 36325
Interactability_Reward_16_Value 0
Interactability_Reward_16_Modification Assign


Master_Bundle_Override frost.masterbundle
Bundle_Override_Path /Objects/Safezone/Frost_Drill_Button_Reset_00
