GUID 63b25525a7e8436a9ae4aa71892266bb

Type Small
Has_Clip_Prefab false
ID 36000

Conditions 2
Condition_0_Type Flag_Short
Condition_0_ID 36231
Condition_0_Value 1
Condition_0_Logic Equal

Condition_1_Type Flag_Bool
Condition_1_ID 36232
Condition_1_Value False
Condition_1_Logic Equal
Condition_1_Allow_Unset

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 1
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 36231
Interactability_Reward_0_Value 2
Interactability_Reward_0_Modification Assign

Master_Bundle_Override frost.masterbundle
Bundle_Override_Path /Objects/Safezone/Frost_Spinny_00
