GUID d193c4dc74a24a559898807e725adaeb

Type Small
Has_Clip_Prefab false
ID 36000

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 36136
Condition_0_Value True
Condition_0_Logic Equal
Condition_0_Allow_Unset

Interactability Quest
Interactability_Effect 36011
Interactability_Rewards 1
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 36136
Interactability_Reward_0_Value False

Master_Bundle_Override frost.masterbundle
Bundle_Override_Path /Objects/Safezone/Bank/Frost_ATM_Button
