GUID 3f1dab534a5a499aa45b089f5c0fe3be

Type Throwable
Rarity Rare
Useable Throwable
ID 36411




Flash

Strong_Throw_Force 2000
Weak_Throw_Force 1400
Boost_Throw_Force_Multiplier 1.1
Fuse_Length 1.1

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Throwables/Flashbang

Blueprints 2
Blueprint_0_Type Tool
Blueprint_0_Supply_0_ID 36411
Blueprint_0_Build 27
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 36011
Blueprint_0_Output_0_Amount 1

Blueprint_0_Conditions 1
Blueprint_0_Condition_0_Type Flag_Short
Blueprint_0_Condition_0_ID 36013
Blueprint_0_Condition_0_Value 0
Blueprint_0_Condition_0_Logic Equal
Blueprint_0_Condition_0_Allow_Unset

Blueprint_1_Type Tool
Blueprint_1_Supply_0_ID 36411
Blueprint_1_Build 27
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 36011
Blueprint_1_Output_0_Amount 2

Blueprint_1_Conditions 1
Blueprint_1_Condition_0_Type Flag_Short
Blueprint_1_Condition_0_ID 36013
Blueprint_1_Condition_0_Value 1
Blueprint_1_Condition_0_Logic Equal
