GUID b6a7b2d2d6d142199c0bf9fb4ece05fd

Type Large
Has_Clip_Prefab false
ID 36000

Interactability_Conditions 1
Interactability_Condition_0_Type Flag_Short
Interactability_Condition_0_ID 36329
Interactability_Condition_0_Value 0
Interactability_Condition_0_Logic Less_Than_Or_Equal_To
Interactability_Condition_0_Allow_Unset

Interactability Binary_State
Interactability_Delay 2
Interactability_Hint Use

Master_Bundle_Override frost.masterbundle
Bundle_Override_Path /Objects/Safezone/Frost_Quest_Door_00
