GUID 3bd1659c57194a1da72837de80e43950

Type Sentry
Rarity Epic
Useable Barricade
Has_Clip_Prefab false
Build Sentry
ID 36406

Size_X 2
Size_Y 2

Health 150
Range 4
Radius 0.5
Offset 1

Storage_X 5
Storage_Y 2
Display
Locked
Mode Hostile
Vulnerable

Explosion 36

Should_Close_When_Outside_Range true

Blueprints 1
Blueprint_0_Type Utilities
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 36092
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 36363
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Supply_2_ID 36605
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Level 1
Blueprint_0_Skill Craft
Blueprint_0_Build 27

PlacementAudioClip core.masterbundle:Sounds/MetalPlacement.mp3

Actions 1
Action_0_Type Blueprint
Action_0_Source 36405
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Text ▲Upgrade
Action_0_Tooltip ▲Upgrade using armored plates
