GUID 8f51a64083514d0686d7f2b121bd7608

Type Small
Has_Clip_Prefab false
ID 36000

Conditions 2
//State
Condition_0_Type Flag_Short
Condition_0_ID 36315
Condition_0_Value 1
Condition_0_Logic Equal

//Start
Condition_1_Type Flag_Short
Condition_1_ID 36283
Condition_1_Value 3
Condition_1_Logic Equal


Interactability Quest
Interactability_Effect 7
Interactability_Rewards 10

Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 36314
Interactability_Reward_0_Value 1
Interactability_Reward_0_Modification Increment

Interactability_Reward_1_Type Flag_Math
Interactability_Reward_1_A_ID 36314
Interactability_Reward_1_B_Value 2
Interactability_Reward_1_Operation Modulo

Interactability_Reward_2_Type Flag_Short
Interactability_Reward_2_ID 36315
Interactability_Reward_2_Value 1
Interactability_Reward_2_Modification Increment

Interactability_Reward_3_Type Flag_Math
Interactability_Reward_3_A_ID 36315
Interactability_Reward_3_B_Value 2
Interactability_Reward_3_Operation Modulo

Interactability_Reward_4_Type Flag_Short
Interactability_Reward_4_ID 36316
Interactability_Reward_4_Value 1
Interactability_Reward_4_Modification Increment

Interactability_Reward_5_Type Flag_Math
Interactability_Reward_5_A_ID 36316
Interactability_Reward_5_B_Value 2
Interactability_Reward_5_Operation Modulo

Interactability_Reward_6_Type Flag_Short
Interactability_Reward_6_ID 36311
Interactability_Reward_6_Value 1
Interactability_Reward_6_Modification Increment

Interactability_Reward_7_Type Flag_Math
Interactability_Reward_7_A_ID 36311
Interactability_Reward_7_B_Value 2
Interactability_Reward_7_Operation Modulo

Interactability_Reward_8_Type Flag_Short
Interactability_Reward_8_ID 36319
Interactability_Reward_8_Value 1
Interactability_Reward_8_Modification Increment

Interactability_Reward_9_Type Flag_Math
Interactability_Reward_9_A_ID 36319
Interactability_Reward_9_B_Value 2
Interactability_Reward_9_Operation Modulo

Master_Bundle_Override frost.masterbundle
Bundle_Override_Path /Objects/Safezone/Frost_Puzzle_00_On
