GUID b395c313eb7d4b28a3cb936a242f4b08

Type Barricade
Useable Barricade
Has_Clip_Prefab false
Build Barricade
Rarity Legendary
ID 36641

Health 50
Range 4
Radius 0.1
Offset 0.275
Explosion 36
Vulnerable
Salvage_Duration_Multiplier 0.1
Bypass_Pickup_Ownership True
PlacementAudioClip core.masterbundle:Sounds/WoodenPlacement.mp3

Blueprints 2
Blueprint_0_Type Supply
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 36356
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 36641
Blueprint_0_Output_0_Amount 1
Blueprint_0_Build 27
Blueprint_1_Type Supply
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 36641
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 36356
Blueprint_1_Output_0_Amount 4
Blueprint_1_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Source 36641
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 1
Action_0_Text ▼Decompress
Action_0_Tooltip ▼Turn a Gun Oil Bundle into 4 Gun Oils
