GUID 6666882f9e154a7196abbbfeab239f89

Type Barricade
Rarity Legendary
Useable Barricade
Has_Clip_Prefab false
Build Hatch
ID 36510




Health 2400
Range 4
Radius 0.5

Locked
Explosion 36

Blueprints 1
Blueprint_0_Type Barricade
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 36509
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 36195
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Tool 36090

Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

PlacementAudioClip Items/Structures_Armored/Frost_Armored_Pillar/Use.wav
