GUID f8ec1c1297f145098f35546990b54672

Type Storage
Rarity Legendary
Useable Barricade
Has_Clip_Prefab false
Build Storage
ID 36295

Size_X 2
Size_Y 3

Health 600
Range 4
Radius 0.5
Offset 0.725

Storage_X 6
Storage_Y 16

Locked
Explosion 36

Blueprints 2
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 36294
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 36195
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Tool 36090
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Blueprint_1_Type Furniture
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 36340
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Build 27

PlacementAudioClip Items/Structures_Armored/Frost_Armored_Pillar/Use.wav

Should_Close_When_Outside_Range true
