GUID ec5c1bad1ed84d1b843702d3d8ad0d8a

Type Melee
Rarity Rare
Useable Melee
Slot Any
ID 36076

Size_X 3

Size_Z 0.3

Range 3
Strength 1.3
Stamina 0

Player_Damage 50
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 100
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 100
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 5
Structure_Damage 5
Vehicle_Damage 15
Resource_Damage 10
Object_Damage 100

Durability 0.5

Blueprints 1
Blueprint_0_Type Supply
Blueprint_0_Supply_0_ID 36076
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 36066
Blueprint_0_Output_0_Amount 3
Blueprint_1_Type Repair
Blueprint_1_Supply_0_ID 36066
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Build 27
