GUID b67df3dc6b1240a891ca07c7046c0c0c

Type Medium
Has_Clip_Prefab false
ID 36000

Interactability Quest
Interactability_Rewards 1
Interactability_Reward_0_Type Teleport
Interactability_Reward_0_Spawnpoint Infected_0_3

Interactability_Conditions 1
Interactability_Condition_0_Type Kills_Zombie
Interactability_Condition_0_Zombie Crawler
Interactability_Condition_0_ID 36048
Interactability_Condition_0_Value 1
Interactability_Condition_0_Logic Greater_Than_Or_Equal_To
Interactability_Condition_0_Nav 3

Master_Bundle_Override frost.masterbundle
Bundle_Override_Path /Objects/Safezone/Frost_Infected_Door_00
