GUID fa38ceafe93a4eb4808683bb3bb08920

Type Tool
Rarity Epic
Useable Carlockpick
ID 36580

Size_X 2


Blueprints 1
Blueprint_0_Type Gear
Blueprint_0_Supplies 3
Blueprint_0_Supply_0_ID 36011
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Supply_1_ID 36284
Blueprint_0_Supply_1_Amount 2
Blueprint_0_Supply_2_ID 36356
Blueprint_0_Supply_2_Amount 1
Blueprint_0_Tool 36090
Blueprint_0_Level 3
Blueprint_0_Skill Craft
Blueprint_0_Build 27

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Tools/Carlockpick
