GUID eede397247ee4d61b5579cf8c544dd33

Type Gun
Rarity Rare
Useable Gun
Slot Any
ID 36528

Quality_Min 55
Quality_Max 100
Size_X 2
Size_Y 2
Magazine 36527
Hook_Tactical
Hook_Sight
Hook_Grip
Ammo_Min 1
Ammo_Max 1
Safety
Semi
Magazine_Calibers 1
Magazine_Caliber_0 36003

Attachment_Calibers 1
Attachment_Caliber_0 36013
Firerate 50
Action Trigger

Can_Aim_During_Sprint True

Range 100
Ballistic_Steps 100
Ballistic_Travel 1
Ballistic_Drop 0.0025
Damage_Falloff_Range 0
Damage_Falloff_Multiplier 0

Player_Damage 4
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 42
Zombie_Leg_Multiplier 0.7
Zombie_Arm_Multiplier 0.7
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.1

Animal_Damage 6
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.2

Barricade_Damage 1
Structure_Damage 1
Vehicle_Damage 12
Resource_Damage 2
Object_Damage 2

Durability 0.5

Spread_Aim 0.5
Spread_Hip 0.4


Recoil_Min_X 1
Recoil_Min_Y -1
Recoil_Max_X -1
Recoil_Max_Y 1

Recover_X 7
Recover_Y 7

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Blueprints 3
Blueprint_0_Type Tool
Blueprint_0_Supply_0_ID 36528
Blueprint_0_Build 27
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 36011
Blueprint_0_Output_0_Amount 1

Blueprint_0_Conditions 1
Blueprint_0_Condition_0_Type Flag_Short
Blueprint_0_Condition_0_ID 36011
Blueprint_0_Condition_0_Value 0
Blueprint_0_Condition_0_Logic Equal
Blueprint_0_Condition_0_Allow_Unset

Blueprint_1_Type Tool
Blueprint_1_Supply_0_ID 36528
Blueprint_1_Build 27
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 36011
Blueprint_1_Output_0_Amount 2

Blueprint_1_Conditions 1
Blueprint_1_Condition_0_Type Flag_Short
Blueprint_1_Condition_0_ID 36011
Blueprint_1_Condition_0_Value 1
Blueprint_1_Condition_0_Logic Equal

Blueprint_2_Type Repair
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 36011
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Build 27
