GUID d9f629a122674abebac2f27983855d29

Type Barricade
Useable Barricade
Has_Clip_Prefab false
Build Barricade
Rarity Rare
ID 36605




Health 50
Range 4
Radius 0.1
Offset 0.15
Explosion 36
Vulnerable
Salvage_Duration_Multiplier 0.1
Bypass_Pickup_Ownership True
PlacementAudioClip core.masterbundle:Sounds/WoodenPlacement.mp3

Blueprints 2
Blueprint_0_Type Gear
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 36355
Blueprint_0_Supply_0_Amount 4
Blueprint_0_Build 27

Blueprint_1_Type Gear
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 36605
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 36355
Blueprint_1_Output_0_Amount 4
Blueprint_1_Build 27


Actions 1
Action_0_Type Blueprint
Action_0_Source 36605
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 1
Action_0_Text ▼Decompress
Action_0_Tooltip ▼Turn can into 4 metal sheets
