GUID 2bbbb6406e554d12bb38c21b72dd3e40

Type Food
Useable Consumeable
ID 36081

Food 60
Water 10

Blueprints 1
Blueprint_0_Type Supply
Blueprint_0_Supply_0_ID 36080
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Level 1
Blueprint_0_Skill Cook
Blueprint_0_Build 27

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Food/Beef_Cooked
ConsumeAudioClip Sounds/EatCrunchy.mp3

Actions 1
Action_0_Type Blueprint
Action_0_Source 36083
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Text ▲Sandwich
Action_0_Tooltip ▲Combine with a loaf to make a sandwich
