GUID 020bd830a9924b3e9c55b9dd1deebdc6

Type Backpack
Rarity Rare
Useable Clothing
ID 36048

Size_X 2
Size_Y 2

Width 8
Height 8

Quality_Min 100
Quality_Max 100

Actions 3
Action_0_Type Blueprint
Action_0_Source 36158
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 3
Action_0_Text ▲Upgrade
Action_0_Tooltip ▲Upgrade clothing using bevlar

Action_1_Type Blueprint
Action_1_Source 36048
Action_1_Blueprints 1
Action_1_Blueprint_0_Index 0
Action_1_Key Salvage

Action_2_Type Blueprint
Action_2_Source 36048
Action_2_Blueprints 1
Action_2_Blueprint_0_Index 1
Action_2_Key Salvage

Blueprints 3
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 36048
Blueprint_0_Build 27
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 36045
Blueprint_0_Output_0_Amount 4

Blueprint_0_Conditions 1
Blueprint_0_Condition_0_Type Flag_Short
Blueprint_0_Condition_0_ID 36015
Blueprint_0_Condition_0_Value 0
Blueprint_0_Condition_0_Logic Equal
Blueprint_0_Condition_0_Allow_Unset

Blueprint_1_Type Apparel
Blueprint_1_Supply_0_ID 36048
Blueprint_1_Build 27
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 36045
Blueprint_1_Output_0_Amount 5

Blueprint_1_Conditions 1
Blueprint_1_Condition_0_Type Flag_Short
Blueprint_1_Condition_0_ID 36015
Blueprint_1_Condition_0_Value 1
Blueprint_1_Condition_0_Logic Equal

Blueprint_2_Type Repair
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 36045
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Build 32
