GUID decf1e25fbd54cd6bd0edbbc3105aa26

Type Small
Has_Clip_Prefab false
ID 36000

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 36309
Condition_0_Value True
Condition_0_Logic Equal

Interactability Quest
Interactability_Rewards 3
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 36306
Interactability_Reward_0_Value 1
Interactability_Reward_0_Modification Increment

Interactability_Reward_1_Type Flag_Bool
Interactability_Reward_1_ID 36309
Interactability_Reward_1_Value False

Interactability_Reward_2_Type Flag_Short
Interactability_Reward_2_ID 36305
Interactability_Reward_2_Value 1
Interactability_Reward_2_Modification Decrement

Master_Bundle_Override frost.masterbundle
Bundle_Override_Path /Objects/Safezone/Frost_Keycard_Reader_Occupied
