GUID 45aee33f33a2480b942cc7a3481c21bc

Type Mask
Rarity Epic
Useable Clothing
ID 36466

Size_X 2
Size_Y 2
Size_Z 0.3

Quality_Min 0
Quality_Max 0

Proof_Radiation

Blueprints 3
Blueprint_0_Type Gear
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 36586
Blueprint_0_Supply_0_Amount 6
Blueprint_0_Supply_1_ID 36049
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Build 27
Blueprint_0_Rewards 1
Blueprint_0_Reward_0_Type Flag_Short
Blueprint_0_Reward_0_ID 36214
Blueprint_0_Reward_0_Value 1
Blueprint_0_Reward_0_Modification Increment
Blueprint_0_Level 1
Blueprint_0_Skill Craft

Blueprint_1_Type Apparel
Blueprint_1_Supply_0_ID 36466
Blueprint_1_Build 27
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 36011
Blueprint_1_Output_0_Amount 2

Blueprint_1_Conditions 1
Blueprint_1_Condition_0_Type Flag_Short
Blueprint_1_Condition_0_ID 36013
Blueprint_1_Condition_0_Value 0
Blueprint_1_Condition_0_Logic Equal
Blueprint_1_Condition_0_Allow_Unset

Blueprint_2_Type Apparel
Blueprint_2_Supply_0_ID 36466
Blueprint_2_Build 27
Blueprint_2_Outputs 1
Blueprint_2_Output_0_ID 36011
Blueprint_2_Output_0_Amount 3

Blueprint_2_Conditions 1
Blueprint_2_Condition_0_Type Flag_Short
Blueprint_2_Condition_0_ID 36013
Blueprint_2_Condition_0_Value 1
Blueprint_2_Condition_0_Logic Equal
